iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,14.992152214050293,14.990848541259766,8.9987188403029e-05,4.0333205106435344e-05,14.990848541259766,0.00089987188403029,0.00040333205106435344,14.99215174519486,4925738.0,0.042653925716876984,0.01935993880033493,328583.0,474.0,480.0,328583,328583.0,3.85257625579834,0.08335530012845993
40,adam,11.11929702758789,11.118230819702148,7.319592987187207e-05,3.3353753678966314e-05,11.118230819702148,0.0007319592987187207,0.00033353753678966314,11.119296316537657,3653261.5,0.034694869071245193,0.016009801998734474,328583.0,474.0,480.0,328583,328583.0,3.0842912197113037,0.07961386442184448
60,adam,9.431984901428223,9.431151390075684,5.6627162848599255e-05,2.6720381356426515e-05,9.431151390075684,0.0005662716284859926,0.00026720381356426515,9.431984865517734,3098916.0,0.02684127539396286,0.012825783342123032,328583.0,474.0,480.0,328583,328583.0,2.7220802307128906,0.07842189818620682
80,adam,9.36543083190918,9.364785194396973,4.34733992733527e-05,2.1070025468361564e-05,9.364785194396973,0.000434733992733527,0.00021070025468361564,9.36543062864439,3077109.25,0.0206063911318779,0.010113611817359924,328583.0,474.0,480.0,328583,328583.0,2.6933202743530273,0.07546201348304749
100,adam,9.35102653503418,9.350533485412598,3.289769301773049e-05,1.6417568986071274e-05,9.350533485412598,0.0003289769301773049,0.00016417568986071274,9.351026638032636,3072426.25,0.015593506395816803,0.007880433462560177,328583.0,474.0,480.0,328583,328583.0,2.701914072036743,0.0730581060051918
120,adam,9.350220680236816,9.349851608276367,2.428857442282606e-05,1.2561466974148061e-05,9.349851608276367,0.0002428857442282606,0.0001256146697414806,9.350220108690337,3072202.25,0.011512784287333488,0.0060295043513178825,328583.0,474.0,480.0,328583,328583.0,2.701570510864258,0.07061859965324402
140,adam,9.333610534667969,9.333338737487793,1.7676051356829703e-05,9.528257578494959e-06,9.333338737487793,0.00017676051356829703,9.528257578494959e-05,9.333610780577146,3066776.5,0.008378447964787483,0.004573563579469919,328583.0,474.0,480.0,328583,328583.0,2.6966710090637207,0.06832190603017807
160,adam,9.324227333068848,9.324028015136719,1.2729919944831636e-05,7.2183024713012855e-06,9.324028015136719,0.00012729919944831636,7.218302471301286e-05,9.32422749736088,3063717.25,0.006033982150256634,0.003464785171672702,328583.0,474.0,480.0,328583,328583.0,2.6941733360290527,0.06622320413589478
180,adam,9.3192138671875,9.319067001342773,9.117407898884267e-06,5.502571184479166e-06,9.319067001342773,9.117407898884267e-05,5.502571184479166e-05,9.319213201133607,3062087.0,0.00432165153324604,0.0026412340812385082,328583.0,474.0,480.0,328583,328583.0,2.6930482387542725,0.06434063613414764
200,adam,9.315543174743652,9.315434455871582,6.535781267302809e-06,4.257180080458056e-06,9.315434455871582,6.535781267302809e-05,4.257180080458056e-05,9.31554238548506,3060893.5,0.0030979602597653866,0.0020434465259313583,328583.0,474.0,480.0,328583,328583.0,2.6919264793395996,0.06269165128469467
220,adam,9.313577651977539,9.313496589660645,4.732809429697227e-06,3.373873596501653e-06,9.313496589660645,4.732809429697227e-05,3.373873596501653e-05,9.313577656490907,3060256.5,0.0022433516569435596,0.0016194593627005816,328583.0,474.0,480.0,328583,328583.0,2.6911659240722656,0.06127038970589638
240,adam,9.312448501586914,9.312385559082031,3.501148512441432e-06,2.76040759672469e-06,9.312385559082031,3.501148512441432e-05,2.76040759672469e-05,9.312448174643123,3059891.5,0.0016595444176346064,0.0013249956537038088,328583.0,474.0,480.0,328583,328583.0,2.6905717849731445,0.061501644551754
260,adam,9.311842918395996,9.311792373657227,2.6782734039443312e-06,2.342682819289621e-06,9.311792373657227,2.6782734039443312e-05,2.342682819289621e-05,9.311842583219459,3059696.75,0.0012695016339421272,0.0011244877241551876,328583.0,474.0,480.0,328583,328583.0,2.6901180744171143,0.0618901289999485
280,adam,9.311359405517578,9.311317443847656,2.1405614916147897e-06,2.0633435724448645e-06,9.311317443847656,2.1405614916147897e-05,2.0633435724448645e-05,9.311359482898297,3059540.5,0.001014626119285822,0.0009904048638418317,328583.0,474.0,480.0,328583,328583.0,2.6897096633911133,0.0621933788061142
300,adam,9.310790061950684,9.310752868652344,1.7968077372643165e-06,1.8794653442455456e-06,9.310752868652344,1.7968077372643165e-05,1.8794653442455456e-05,9.310789631383159,3059355.0,0.0008516868692822754,0.0009021433652378619,328583.0,474.0,480.0,328583,328583.0,2.6893091201782227,0.062418133020401
320,adam,9.312240600585938,9.312207221984863,1.5857501693972154e-06,1.7606949995752075e-06,9.312207221984863,1.5857501693972154e-05,1.7606949995752075e-05,9.312240686436553,3059833.0,0.0007516455953009427,0.0008451336179859936,328583.0,474.0,480.0,328583,328583.0,2.690502882003784,0.06257162988185883
340,adam,9.312726020812988,9.312694549560547,1.4510811752188602e-06,1.683684672570962e-06,9.312694549560547,1.4510811752188602e-05,1.683684672570962e-05,9.312725897219025,3059993.0,0.0006878124549984932,0.0008081686682999134,328583.0,474.0,480.0,328583,328583.0,2.691728115081787,0.06266151368618011
360,adam,9.308235168457031,9.308205604553223,1.3697331269213464e-06,1.6330998278135667e-06,9.308205604553223,1.3697331269213464e-05,1.6330998278135667e-05,9.30823563288277,3058518.0,0.0006492534885182977,0.0007838879246264696,328583.0,474.0,480.0,328583,328583.0,2.6887145042419434,0.06297937035560608
380,adam,9.305684089660645,9.305654525756836,1.3229953310656128e-06,1.6009042838049936e-06,9.305654525756836,1.3229953310656128e-05,1.6009042838049936e-05,9.305683764752985,3057680.0,0.0006270997691899538,0.0007684340816922486,328583.0,474.0,480.0,328583,328583.0,2.6872761249542236,0.06324219703674316
400,adam,9.303592681884766,9.303563117980957,1.2950160908076214e-06,1.5795513945704442e-06,9.303563117980957,1.2950160908076214e-05,1.5795513945704442e-05,9.30359186365581,3056992.75,0.0006138376193121076,0.0007581846439279616,328583.0,474.0,480.0,328583,328583.0,2.6866257190704346,0.06351539492607117
420,adam,9.301215171813965,9.301187515258789,1.2781188161170576e-06,1.564780745866301e-06,9.301187515258789,1.2781188161170576e-05,1.564780745866301e-05,9.301215944254409,3056212.25,0.0006058283033780754,0.0007510947762057185,328583.0,474.0,480.0,328583,328583.0,2.6859169006347656,0.06373097002506256
440,adam,9.298583984375,9.298556327819824,1.2672701359406346e-06,1.5539757214355632e-06,9.298556327819824,1.2672701359406346e-05,1.5539757214355632e-05,9.298584540278398,3055347.5,0.0006006860639899969,0.0007459083572030067,328583.0,474.0,480.0,328583,328583.0,2.6851608753204346,0.06385190784931183
460,adam,9.295727729797363,9.295700073242188,1.2596948408827302e-06,1.5455414086318342e-06,9.295700073242188,1.2596948408827302e-05,1.5455414086318342e-05,9.295728125604683,3054409.0,0.0005970953498035669,0.0007418598979711533,328583.0,474.0,480.0,328583,328583.0,2.684356689453125,0.0638960748910904
480,adam,9.292677879333496,9.29265022277832,1.2536744407043443e-06,1.5384655398520408e-06,9.29265022277832,1.2536744407043443e-05,1.5384655398520408e-05,9.292678144178126,3053406.75,0.0005942416610196233,0.0007384634809568524,328583.0,474.0,480.0,328583,328583.0,2.6835107803344727,0.06387856602668762
500,adam,9.289456367492676,9.2894287109375,1.2483883438108023e-06,1.5321827504521934e-06,9.2894287109375,1.2483883438108023e-05,1.5321827504521934e-05,9.289456516648443,3052348.5,0.0005917360540479422,0.0007354477420449257,328583.0,474.0,480.0,328583,328583.0,2.682624340057373,0.06381160765886307
520,adam,9.286087989807129,9.286060333251953,1.2432876701495843e-06,1.526325945633289e-06,9.286060333251953,1.2432876701495843e-05,1.526325945633289e-05,9.286088029388111,3051241.5,0.0005893183406442404,0.000732636428438127,328583.0,474.0,480.0,328583,328583.0,2.6816835403442383,0.06370522826910019
540,adam,9.286369323730469,9.286341667175293,1.2427141200532787e-06,1.5225625702441903e-06,9.286341667175293,1.2427141200532787e-05,1.5225625702441903e-05,9.286369319942196,3051334.0,0.0005890465108677745,0.0007308300118893385,328583.0,474.0,480.0,328583,328583.0,2.6818792819976807,0.06356722861528397
560,adam,9.281678199768066,9.28165054321289,1.2390260053507518e-06,1.516897214060009e-06,9.28165054321289,1.2390260053507518e-05,1.516897214060009e-05,9.281678102445085,3049792.5,0.0005872983019798994,0.0007281106663867831,328583.0,474.0,480.0,328583,328583.0,2.6819050312042236,0.06340385973453522
580,adam,9.286307334899902,9.286279678344727,1.2339859267740394e-06,1.5122508330023265e-06,9.286279678344727,1.2339859267740394e-05,1.5122508330023265e-05,9.286307140712324,3051313.5,0.0005849093431606889,0.0007258803816512227,328583.0,474.0,480.0,328583,328583.0,2.6861507892608643,0.06322046369314194
